exec_time,reprod,repeat,tool,site,th_oxide,ri_sige,th_sige,GOF 
0,1,1,QFX1001,1,2.8768,27.9672,91.3146,0.8911
0,1,1,QFX1001,2,2.9174,27.962,88.7189,0.8952
0,1,1,QFX1001,3,3.0534,27.9883,87.7529,0.8988
0,1,1,QFX1001,4,3.0699,27.9698,88.1033,0.8952
0,1,1,QFX1001,5,2.9877,27.9726,87.5407,0.8954
0,1,1,QFX1001,6,2.9656,27.9725,88.654,0.8947
0,1,1,QFX1001,7,3.1267,27.9691,90.0054,0.8927
0,1,1,QFX1001,8,2.8226,28.0335,88.8976,0.8993
0,1,1,QFX1001,9,3.5913,27.9602,88.2237,0.8939
0,1,1,QFX1001,10,3.7521,27.9873,87.9821,0.8976
0,1,1,QFX1001,11,3.9671,27.9711,87.4903,0.8972
0,1,1,QFX1001,12,4.0065,27.9778,88.3878,0.8972
0,1,1,QFX1001,13,3.768,27.9675,87.6378,0.8972
0,1,1,QFX1001,14,2.6454,28.03,89.3415,0.8988
0,1,1,QFX1001,15,2.9999,27.9852,88.1469,0.8949
0,1,1,QFX1001,16,3.3563,27.9788,87.1844,0.8972
0,1,1,QFX1001,17,3.1252,27.9697,87.9573,0.8957
0,1,2,QFX1001,1,2.955,27.9746,91.2626,0.8915
0,1,2,QFX1001,2,2.949,27.9771,88.6664,0.896
0,1,2,QFX1001,3,3.0596,27.9909,87.8157,0.8987
0,1,2,QFX1001,4,3.1502,27.9802,88.0928,0.8973
0,1,2,QFX1001,5,3.0944,27.9695,87.5523,0.8972
0,1,2,QFX1001,6,2.9575,27.9684,88.7325,0.8932
0,1,2,QFX1001,7,3.1959,27.9633,89.9479,0.8932
0,1,2,QFX1001,8,2.8787,28.0329,89.0195,0.8984
0,1,2,QFX1001,9,3.6279,27.9679,88.2854,0.8963
0,1,2,QFX1001,10,3.8151,27.9858,87.9602,0.8978
0,1,2,QFX1001,11,3.993,27.9785,87.4471,0.8979
0,1,2,QFX1001,12,3.9557,27.9851,88.3645,0.8962
0,1,2,QFX1001,13,3.7671,27.9628,87.6516,0.8966
0,1,2,QFX1001,14,2.6523,28.0441,89.3495,0.8989
0,1,2,QFX1001,15,3.0374,27.978,88.2228,0.8951
0,1,2,QFX1001,16,3.3506,27.9861,87.1881,0.896
0,1,2,QFX1001,17,3.1066,27.964,87.9809,0.8955
0,1,3,QFX1001,1,2.9953,27.9603,91.2843,0.8916
0,1,3,QFX1001,2,2.9117,27.9719,88.7788,0.8946
0,1,3,QFX1001,3,3.024,27.991,87.8271,0.8982
0,1,3,QFX1001,4,3.1542,27.978,88.1864,0.8959
0,1,3,QFX1001,5,3.1174,27.9671,87.5671,0.8958
0,1,3,QFX1001,6,3.0921,27.9663,88.4532,0.8913
0,1,3,QFX1001,7,3.2308,27.9621,89.9923,0.8934
0,1,3,QFX1001,8,2.9012,28.0332,88.8756,0.8973
0,1,3,QFX1001,9,3.6262,27.9676,88.2522,0.8944
0,1,3,QFX1001,10,3.824,27.9823,87.9936,0.8985
0,1,3,QFX1001,11,3.9913,27.9767,87.463,0.8966
0,1,3,QFX1001,12,4.0578,27.9668,88.4117,0.8961
0,1,3,QFX1001,13,3.854,27.9617,87.6832,0.8964
0,1,3,QFX1001,14,2.6532,28.0362,89.4173,0.8991
0,1,3,QFX1001,15,3.1181,27.9777,88.0958,0.8942
0,1,3,QFX1001,16,3.4308,27.9891,87.1482,0.8971
0,1,3,QFX1001,17,3.128,27.9793,87.937,0.8968
0,1,4,QFX1001,1,3.0215,27.9606,91.3557,0.8909
0,1,4,QFX1001,2,3.004,27.9715,88.7782,0.8962
0,1,4,QFX1001,3,3.0416,27.9941,87.8659,0.8987
0,1,4,QFX1001,4,3.2381,27.9768,88.1452,0.8968
0,1,4,QFX1001,5,3.1712,27.9697,87.4901,0.8964
