slot,tbox,site,col_x,row_y,GOF,thickness,x,y,radius
5,TBOX4,1,-1,5,0.993,5326.63,-31.441,143.263,146.6725048
5,TBOX4,2,0,5,0.994,5256.26,-7.499,143.252,143.4481457
5,TBOX4,3,1,5,0.994,5218.98,16.447,143.246,144.1871018
5,TBOX4,4,-3,4,0.992,5461.77,-79.328,113.778,138.7024328
5,TBOX4,5,-2,4,0.994,5423.21,-55.383,113.774,126.5377405
5,TBOX4,6,-1,4,0.996,5499.7,-31.445,113.766,118.0317363
5,TBOX4,7,0,4,0.996,5496.66,-7.498,113.764,114.0108227
5,TBOX4,8,1,4,0.996,5509.18,16.446,113.765,114.94758
5,TBOX4,9,2,4,0.996,5506.37,40.387,113.757,120.7135652
5,TBOX4,10,3,4,0.994,5402.39,64.322,113.76,130.6853369
5,TBOX4,11,4,4,0.991,5500.49,88.255,113.759,143.9793565
5,TBOX4,12,-4,3,0.992,5456.15,-103.274,84.301,133.3123313
5,TBOX4,13,-2,3,0.998,5458.35,-55.386,84.282,100.8516957
5,TBOX4,14,0,3,0.998,5400.92,-7.497,84.276,84.60880087
5,TBOX4,15,2,3,0.997,5412.96,40.377,84.281,93.4536735
5,TBOX4,16,4,3,0.993,5514.66,88.259,84.284,122.0386977
5,TBOX4,17,5,3,0.988,5491.2,112.204,84.28,140.3312368
5,TBOX4,18,-5,2,0.989,5375.35,-127.223,54.812,138.5281454
5,TBOX4,19,-3,2,0.997,5472.62,-79.333,54.804,96.42200633
5,TBOX4,20,-1,2,0.997,5487.9,-31.439,54.796,63.17445953
5,TBOX4,21,1,2,0.997,5470.72,16.431,54.794,57.204547
5,TBOX4,22,3,2,0.997,5410.72,64.314,54.803,84.49650528
5,TBOX4,23,5,2,0.992,5486.76,112.211,54.783,124.8698747
5,TBOX4,25,-5,1,0.993,5417.4,-127.231,25.328,129.7275412
5,TBOX4,26,-4,1,0.996,5513.59,-103.283,25.318,106.3408633
5,TBOX4,27,-2,1,0.998,5515.29,-55.388,25.316,60.89934647
5,TBOX4,28,0,1,0.995,5742.64,-7.514,25.316,26.40757566
5,TBOX4,29,2,1,0.997,5549.22,40.371,25.317,47.65257737
5,TBOX4,30,4,1,0.997,5414.32,88.267,25.299,91.82103621
5,TBOX4,31,6,1,0.987,5391.42,136.168,25.312,138.5006194
5,TBOX4,32,-5,0,0.993,5499.08,-127.234,-4.163,127.3020869
5,TBOX4,33,-3,0,0.998,5464.11,-79.339,-4.169,79.44845802
5,TBOX4,34,-1,0,0.995,5746.66,-31.463,-4.164,31.73734811
5,TBOX4,35,1,0,0.995,5739.62,16.429,-4.157,16.94676046
5,TBOX4,36,3,0,0.998,5429.07,64.324,-4.188,64.46019175
5,TBOX4,37,5,0,0.994,5517.12,112.222,-4.169,112.2994116
5,TBOX4,38,6,0,0.989,5365.6,136.166,-4.153,136.2293176
5,TBOX4,39,-5,-1,0.993,5394.82,-127.235,-33.644,131.6079935
5,TBOX4,40,-4,-1,0.995,5515.02,-103.285,-33.654,108.6295675
5,TBOX4,41,-2,-1,0.997,5503.27,-55.411,-33.65,64.82824555
5,TBOX4,42,0,-1,0.995,5700.37,-7.519,-33.639,34.46908299
5,TBOX4,43,2,-1,0.994,5536.5,40.389,-33.66,52.57629619
5,TBOX4,44,4,-1,0.995,5441.75,88.281,-33.65,94.47675619
5,TBOX4,45,6,-1,0.988,5285.12,136.155,-33.627,140.2460664
5,TBOX4,46,-5,-2,0.992,5460.5,-127.235,-63.131,142.0361517
5,TBOX4,47,-3,-2,0.995,5497.65,-79.358,-63.132,101.4068123
5,TBOX4,48,-1,-2,0.996,5518.75,-31.465,-63.125,70.53234613
5,TBOX4,49,1,-2,0.995,5481.03,16.439,-63.142,65.24686111
5,TBOX4,50,3,-2,0.996,5426.65,64.336,-63.123,90.1312045
5,TBOX4,51,5,-2,0.991,5415.58,112.213,-63.105,128.7400419
5,TBOX4,52,-4,-3,0.991,5363.08,-103.314,-92.606,138.7431217
5,TBOX4,53,-2,-3,0.994,5540.61,-55.414,-92.608,107.9210501
5,TBOX4,54,0,-3,0.994,5485.73,-7.503,-92.626,92.92938655
5,TBOX4,55,2,-3,0.993,5460.57,40.39,-92.605,101.0298873
5,TBOX4,56,4,-3,0.99,5407.11,88.267,-92.579,127.9137777
5,TBOX4,57,5,-3,0.987,5469.9,112.208,-92.566,145.4616775
5,TBOX4,58,-3,-4,0.986,5514.31,-79.363,-122.086,145.6141379
5,TBOX4,59,-2,-4,0.987,5426.55,-55.412,-122.107,134.0917939
5,TBOX4,60,-1,-4,0.989,5538.53,-31.451,-122.105,126.0904296
5,TBOX4,61,0,-4,0.99,5506.24,-7.504,-122.102,122.3323687
5,TBOX4,62,1,-4,0.989,5478.19,16.447,-122.085,123.1878689
5,TBOX4,63,2,-4,0.989,5377.3,40.387,-122.08,128.5870762
5,TBOX4,64,3,-4,0.986,5281.76,64.319,-122.063,137.9721339
5,TBOX3,1,-1,5,0.966,3774.69,-31.562,143.264,146.6994667
5,TBOX3,2,0,5,0.969,3577.85,-7.619,143.252,143.454469
5,TBOX3,3,1,5,0.97,3576.75,16.326,143.247,144.1743434
5,TBOX3,4,-3,4,0.972,3744.58,-79.447,113.78,138.7721666
5,TBOX3,5,-2,4,0.981,3635.3,-55.505,113.778,126.5947799
5,TBOX3,6,-1,4,0.98,3681.16,-31.565,113.769,118.0666531
5,TBOX3,7,0,4,0.982,3667.05,-7.619,113.765,114.0198421
5,TBOX3,8,1,4,0.982,3685.73,16.327,113.766,114.9316044
5,TBOX3,9,2,4,0.981,3690.06,40.266,113.758,120.6740789
5,TBOX3,10,3,4,0.98,3623.64,64.202,113.761,130.6271868
5,TBOX3,11,4,4,0.962,3989.17,88.134,113.759,143.9052189
5,TBOX3,12,-4,3,0.977,3694.69,-103.394,84.301,133.4053141
5,TBOX3,13,-2,3,0.984,3605.23,-55.506,84.283,100.9184826
5,TBOX3,14,0,3,0.985,3517.57,-7.618,84.277,84.62060419
5,TBOX3,15,2,3,0.985,3548.18,40.256,84.281,93.40145875
5,TBOX3,16,4,3,0.98,3702.13,88.136,84.287,121.9518465
5,TBOX3,17,5,3,0.897,2378.38,112.083,84.28,140.2345082
5,TBOX3,18,-5,2,0.97,3680,-127.342,54.813,138.6378373
5,TBOX3,19,-3,2,0.984,3609.83,-79.454,54.808,96.52385705
5,TBOX3,20,-1,2,0.98,3613.56,-31.56,54.799,63.23736238
5,TBOX3,21,1,2,0.978,3623.96,16.311,54.794,57.17019466
5,TBOX3,22,3,2,0.983,3528.86,64.192,54.805,84.40498142
5,TBOX3,23,5,2,0.979,3695,112.09,54.783,124.7611526
5,TBOX3,24,6,2,0.963,4191.83,136.043,54.783,146.6590432
5,TBOX3,25,-5,1,0.976,3660.55,-127.351,25.328,129.845234
5,TBOX3,26,-4,1,0.981,3676.47,-103.404,25.321,106.4591013
5,TBOX3,27,-2,1,0.98,3662.29,-55.51,25.317,61.01074159
5,TBOX3,28,0,1,0.97,3900.65,-7.634,25.317,26.44292807
5,TBOX3,29,2,1,0.976,3690.51,40.25,25.319,47.55117518
5,TBOX3,30,4,1,0.984,3547.07,88.146,25.301,91.70527748
5,TBOX3,31,6,1,0.971,3696.05,136.046,25.316,138.3814076
5,TBOX3,32,-5,0,0.976,3726.23,-127.354,-4.162,127.4219901
5,TBOX3,33,-3,0,0.983,3586.24,-79.46,-4.169,79.56929157
5,TBOX3,34,-1,0,0.971,3895.69,-31.583,-4.163,31.85618398
5,TBOX3,35,1,0,0.971,3879.35,16.309,-4.155,16.82995859
5,TBOX3,36,3,0,0.98,3562.49,64.207,-4.188,64.34343939
5,TBOX3,37,5,0,0.977,3737.95,112.101,-4.166,112.1783836
5,TBOX3,38,6,0,0.972,3669.43,136.047,-4.152,136.1103424
5,TBOX3,39,-5,-1,0.977,3633.17,-127.356,-33.641,131.7242104
5,TBOX3,40,-4,-1,0.981,3691.42,-103.405,-33.654,108.7436699
5,TBOX3,41,-2,-1,0.979,3617.49,-55.531,-33.649,64.93032544
5,TBOX3,42,0,-1,0.973,3831.48,-7.64,-33.639,34.49567974
5,TBOX3,43,2,-1,0.976,3656.76,40.267,-33.661,52.48327553
5,TBOX3,44,4,-1,0.983,3567.95,88.16,-33.647,94.36263142
5,TBOX3,45,6,-1,0.969,3657.82,136.034,-33.627,140.1285991
5,TBOX3,46,-5,-2,0.958,3952.98,-127.356,-63.128,142.1432205
5,TBOX3,47,-3,-2,0.983,3628.24,-79.482,-63.129,101.5020146
5,TBOX3,48,-1,-2,0.983,3607.23,-31.585,-63.125,70.58596071
5,TBOX3,49,1,-2,0.981,3575.97,16.319,-63.142,65.21673041
5,TBOX3,50,3,-2,0.984,3530.08,64.216,-63.119,90.04278326
5,TBOX3,51,5,-2,0.975,3676.78,112.095,-63.105,128.6372032
5,TBOX3,52,-4,-3,0.965,3783.34,-103.432,-92.606,138.8310119
5,TBOX3,53,-2,-3,0.982,3703.31,-55.534,-92.604,107.9792849
5,TBOX3,54,0,-3,0.985,3576.03,-7.623,-92.626,92.93915216
5,TBOX3,55,2,-3,0.984,3589.56,40.269,-92.602,100.9788233
5,TBOX3,56,4,-3,0.975,3691.11,88.146,-92.579,127.8303116
5,TBOX3,57,5,-3,0.933,3966.58,112.087,-92.566,145.3683594
5,TBOX3,58,-3,-4,0.953,4060.66,-79.484,-122.083,145.6776069
5,TBOX3,59,-2,-4,0.971,3711.4,-55.532,-122.107,134.1414271
5,TBOX3,60,-1,-4,0.975,3755.15,-31.572,-122.105,126.1206653
5,TBOX3,61,0,-4,0.978,3712.46,-7.624,-122.099,122.336794
5,TBOX3,62,1,-4,0.978,3691.18,16.326,-122.085,123.1717723
5,TBOX3,63,2,-4,0.976,3632.34,40.267,-122.076,128.5456381
5,TBOX3,64,3,-4,0.97,3652.54,64.198,-122.062,137.9148833
6,TBOX4,1,-1,5,0.993,5267.58,-31.242,143.24,146.6075038
6,TBOX4,2,0,5,0.992,5331.41,-7.301,143.229,143.414961
6,TBOX4,3,1,5,0.993,5283.26,16.646,143.222,144.1860971
6,TBOX4,4,-3,4,0.994,5273.43,-79.127,113.756,138.569512
6,TBOX4,5,-2,4,0.996,5424.19,-55.183,113.753,126.4314379
6,TBOX4,6,-1,4,0.996,5432.76,-31.244,113.74,117.9532752
6,TBOX4,7,0,4,0.997,5444.67,-7.3,113.74,113.9740216
6,TBOX4,8,1,4,0.997,5461.21,16.648,113.74,114.9519182
6,TBOX4,9,2,4,0.996,5456.64,40.586,113.735,120.7595695
6,TBOX4,10,3,4,0.994,5398.92,64.522,113.734,130.7612758
6,TBOX4,11,4,4,0.991,5388.98,88.454,113.732,144.0801095
6,TBOX4,12,-4,3,0.993,5368.49,-103.075,84.279,133.1443032
6,TBOX4,13,-2,3,0.998,5423.14,-55.186,84.258,100.72192
6,TBOX4,14,0,3,0.998,5361.61,-7.298,84.252,84.56748966
6,TBOX4,15,2,3,0.998,5399.76,40.577,84.254,93.5159315
6,TBOX4,16,4,3,0.993,5506.31,88.458,84.258,122.1647589
6,TBOX4,17,5,3,0.987,5412.02,112.4,84.256,140.4736044
6,TBOX4,18,-5,2,0.991,5402.7,-127.023,54.791,138.336171
6,TBOX4,19,-3,2,0.998,5435.37,-79.132,54.783,96.24474278
6,TBOX4,20,-1,2,0.998,5437.65,-31.241,54.772,63.05530957
6,TBOX4,21,1,2,0.998,5451.3,16.629,54.769,57.23781095
6,TBOX4,22,3,2,0.997,5393.44,64.514,54.778,84.6326502
6,TBOX4,23,5,2,0.993,5460.94,112.41,54.757,125.037343
6,TBOX4,25,-5,1,0.993,5407.56,-127.032,25.305,129.5278814
6,TBOX4,26,-4,1,0.996,5503.56,-103.086,25.296,106.1442934
6,TBOX4,27,-2,1,0.998,5487.1,-55.189,25.293,60.70882613
6,TBOX4,28,0,1,0.996,5687.94,-7.313,25.292,26.32803132
6,TBOX4,29,2,1,0.997,5533.51,40.569,25.292,47.80720683
6,TBOX4,30,4,1,0.997,5395.19,88.465,25.273,92.00424313
6,TBOX4,31,6,1,0.987,5370.73,136.367,25.287,138.6917123
6,TBOX4,32,-5,0,0.995,5461.01,-127.037,-4.185,127.1059149
6,TBOX4,33,-3,0,0.998,5425.6,-79.141,-4.194,79.25205055
6,TBOX4,34,-1,0,0.997,5672.92,-31.263,-4.189,31.54239829
6,TBOX4,35,1,0,0.996,5681.08,16.627,-4.182,17.14486083
