student,teacher,sex,m1,m2,final
S-1,john,male,56,42,58
S-2,john,male,96,90,91
S-3,john,male,70,59,65
S-4,john,male,82,75,78
S-5,john,male,85,90,92
S-6,john,male,69,60,65
S-7,john,female,82,78,60
S-8,john,female,84,81,82
S-9,john,female,89,80,68
S-10,john,female,90,93,91
S-11,jane,male,42,46,65
S-12,jane,male,28,15,34
S-13,jane,male,49,68,75
S-14,jane,male,36,30,48
S-15,jane,male,58,58,62
S-16,jane,male,72,70,84
S-17,jane,female,65,61,70
S-18,jane,female,68,75,71
S-19,jane,female,62,50,55
S-20,jane,female,71,72,87
