test,language,time.c
fib,Fortran,0.28
parse_int,Fortran,9.22
quicksort,Fortran,1.65
mandel,Fortran,0.76
pi_sum,Fortran,1
rand_mat_stat,Fortran,2.23
rand_mat_mul,Fortran,1.14
fib,Julia,1.97
parse_int,Julia,1.72
quicksort,Julia,1.37
mandel,Julia,1.45
pi_sum,Julia,1
rand_mat_stat,Julia,1.95
rand_mat_mul,Julia,1
fib,Python,46.03
parse_int,Python,25.29
quicksort,Python,69.2
mandel,Python,34.88
pi_sum,Python,33.64
rand_mat_stat,Python,29.01
rand_mat_mul,Python,1.75
fib,Matlab,1587.03
parse_int,Matlab,846.67
quicksort,Matlab,133.46
mandel,Matlab,74.61
pi_sum,Matlab,1.46
rand_mat_stat,Matlab,7.71
rand_mat_mul,Matlab,1.08
fib,Octave,2748.74
parse_int,Octave,7364.87
quicksort,Octave,3341.94
mandel,Octave,988.74
pi_sum,Octave,457.26
rand_mat_stat,Octave,31.04
rand_mat_mul,Octave,1.93
fib,R,275.63
parse_int,R,353.48
quicksort,R,708.76
mandel,R,184.71
pi_sum,R,253.45
rand_mat_stat,R,12.66
rand_mat_mul,R,9.58
fib,JavaScript,2.09
parse_int,JavaScript,2.55
quicksort,JavaScript,4.95
mandel,JavaScript,7.62
pi_sum,JavaScript,1.12
rand_mat_stat,JavaScript,5.53
rand_mat_mul,JavaScript,45.82
