site,wafer,time_dep,geh4,b2h6,th_sigeb.xrr,th_sigeb.xrd,xge.xrd,xge.sims,b_conc.sims,th_sigeb.ell, N_1(240.0nm), N_1(245.0nm), N_1(250.0nm), N_1(255.0nm), N_1(260.0nm), N_1(265.0nm), N_1(270.0nm), N_1(275.0nm), N_1(280.0nm), N_1(285.0nm), N_1(290.0nm), N_1(295.0nm), N_1(300.0nm), N_1(305.0nm), N_1(310.0nm), N_1(315.0nm), N_1(320.0nm), N_1(325.0nm), N_1(330.0nm), N_1(335.0nm), N_1(340.0nm), N_1(345.0nm), N_1(350.0nm), N_1(355.0nm), N_1(360.0nm), N_1(365.0nm), N_1(370.0nm), N_1(375.0nm), N_1(380.0nm), N_1(385.0nm), N_1(390.0nm), N_1(395.0nm), N_1(400.0nm), N_1(405.0nm), N_1(410.0nm), N_1(415.0nm), N_1(420.0nm), N_1(425.0nm), N_1(430.0nm), N_1(435.0nm), N_1(440.0nm), N_1(445.0nm), N_1(450.0nm), N_1(455.0nm), N_1(460.0nm), N_1(465.0nm), N_1(470.0nm), N_1(475.0nm), N_1(480.0nm), N_1(485.0nm), N_1(490.0nm), N_1(495.0nm), N_1(500.0nm), N_1(505.0nm), N_1(510.0nm), N_1(515.0nm), N_1(520.0nm), N_1(525.0nm), N_1(530.0nm), N_1(535.0nm), N_1(540.0nm), N_1(545.0nm), N_1(550.0nm), N_1(555.0nm), N_1(560.0nm), N_1(565.0nm), N_1(570.0nm), N_1(575.0nm), N_1(580.0nm), N_1(585.0nm), N_1(590.0nm), N_1(595.0nm), N_1(600.0nm), N_1(605.0nm), N_1(610.0nm), N_1(615.0nm), N_1(620.0nm), N_1(625.0nm), N_1(630.0nm), N_1(635.0nm), N_1(640.0nm), N_1(645.0nm), N_1(650.0nm), N_1(655.0nm), N_1(660.0nm), N_1(665.0nm), N_1(670.0nm), N_1(675.0nm), N_1(680.0nm), N_1(685.0nm), N_1(690.0nm), N_1(695.0nm), N_1(700.0nm), N_1(705.0nm), N_1(710.0nm), N_1(715.0nm), N_1(720.0nm), N_1(725.0nm), N_1(730.0nm), N_1(735.0nm), N_1(740.0nm), N_1(745.0nm), N_1(750.0nm), N_1(755.0nm), N_1(760.0nm), N_1(765.0nm), N_1(770.0nm), N_1(775.0nm), N_1(780.0nm), K_1(250.0nm), K_1(255.0nm), K_1(260.0nm), K_1(265.0nm), K_1(270.0nm), K_1(275.0nm), K_1(280.0nm), K_1(285.0nm), K_1(290.0nm), K_1(295.0nm), K_1(300.0nm), K_1(305.0nm), K_1(310.0nm), K_1(315.0nm), K_1(320.0nm), K_1(325.0nm), K_1(330.0nm), K_1(335.0nm), K_1(340.0nm), K_1(345.0nm), K_1(350.0nm), K_1(355.0nm), K_1(360.0nm), K_1(365.0nm), K_1(370.0nm), K_1(375.0nm), K_1(380.0nm), K_1(385.0nm), K_1(390.0nm), K_1(395.0nm), K_1(400.0nm), K_1(405.0nm), K_1(410.0nm), K_1(415.0nm), K_1(420.0nm), K_1(425.0nm), K_1(430.0nm), K_1(435.0nm), K_1(440.0nm), K_1(445.0nm), K_1(450.0nm), K_1(455.0nm), K_1(460.0nm), K_1(465.0nm), K_1(470.0nm), K_1(475.0nm), K_1(480.0nm), K_1(485.0nm), K_1(490.0nm), K_1(495.0nm), K_1(500.0nm), K_1(505.0nm), K_1(510.0nm), K_1(515.0nm), K_1(520.0nm), K_1(525.0nm), K_1(530.0nm), K_1(535.0nm), K_1(540.0nm), K_1(545.0nm), K_1(550.0nm), K_1(555.0nm), K_1(560.0nm), K_1(565.0nm), K_1(570.0nm), K_1(575.0nm), K_1(580.0nm), K_1(585.0nm), K_1(590.0nm), K_1(595.0nm), K_1(600.0nm), K_1(605.0nm), K_1(610.0nm), K_1(615.0nm), K_1(620.0nm), K_1(625.0nm), K_1(630.0nm), K_1(635.0nm), K_1(640.0nm), K_1(645.0nm), K_1(650.0nm), K_1(655.0nm), K_1(660.0nm), K_1(665.0nm), K_1(670.0nm), K_1(675.0nm), K_1(680.0nm), K_1(685.0nm), K_1(690.0nm), K_1(695.0nm), K_1(700.0nm), K_1(705.0nm), K_1(710.0nm), K_1(715.0nm), K_1(720.0nm), K_1(725.0nm), K_1(730.0nm), K_1(735.0nm), K_1(740.0nm), K_1(745.0nm), K_1(750.0nm), K_1(755.0nm), K_1(760.0nm), K_1(765.0nm), K_1(770.0nm), K_1(775.0nm), K_1(780.0nm)
1,1,350,690,125,150.966,143.52,31.897,35.61,3.62E+20,144.708,1.78747,1.8051,1.83659,1.90502,2.03048,2.2011,2.40443,2.68553,3.10209,3.61973,4.09426,4.41347,4.58168,4.65564,4.68369,4.6942,4.70164,4.7129,4.73099,4.75696,4.79079,4.83185,4.87912,4.93128,4.98679,5.04397,5.10106,5.15636,5.20838,5.2559,5.29812,5.33471,5.3658,5.39189,5.41356,5.43106,5.44357,5.4485,5.44129,5.41685,5.37244,5.30999,5.23551,5.15607,5.0772,5.00213,4.93224,4.8678,4.80856,4.75404,4.7037,4.65707,4.61368,4.57316,4.53519,4.4995,4.46586,4.43406,4.40395,4.37538,4.34822,4.32237,4.29772,4.2742,4.25173,4.23023,4.20965,4.18993,4.17102,4.15287,4.13543,4.11867,4.10255,4.08704,4.0721,4.0577,4.04381,4.03042,4.01749,4.005,3.99294,3.98128,3.97,3.95908,3.94851,3.93828,3.92836,3.91875,3.90943,3.90039,3.89161,3.8831,3.87482,3.86678,3.85897,3.85138,3.84399,3.83681,3.82981,3.823,3.81638,3.80992,3.80363,3.7975,3.79152,3.78569,3.78,3.77445,3.76904,3.5693,3.74827,3.94281,4.12739,4.31867,4.53041,4.6976,4.6989,4.49038,4.16532,3.83875,3.56405,3.34783,3.18006,3.04848,2.9427,2.85471,2.77839,2.70905,2.64302,2.57741,2.50993,2.43889,2.36308,2.28187,2.19509,2.10305,2.00645,1.9062,1.80329,1.69854,1.59234,1.48444,1.37378,1.25861,1.13727,1.00975,0.87939,0.75313,0.63885,0.54187,0.46329,0.40109,0.35197,0.31277,0.2809,0.25447,0.23211,0.21286,0.19603,0.18114,0.16784,0.15586,0.14501,0.13513,0.1261,0.11782,0.11021,0.1032,0.09673,0.09075,0.0852,0.08006,0.07529,0.07085,0.06671,0.06286,0.05926,0.05589,0.05274,0.04979,0.04702,0.04442,0.04198,0.03968,0.03751,0.03546,0.03353,0.0317,0.02997,0.02833,0.02677,0.02529,0.02389,0.02255,0.02128,0.02006,0.0189,0.01779,0.01673,0.01571,0.01473,0.0138,0.0129,0.01204,0.0112,0.0104,0.00963,0.00889,0.00817,0.00747,0.0068,0.00615,0.00555,0.00509,0.00465,0.00423
5,1,350,690,125,151.044,141.89,31.94,35.78,3.53E+20,144.788,1.78836,1.80568,1.83646,1.90431,2.02982,2.20117,2.40502,2.686,3.10298,3.62222,4.09811,4.41728,4.58448,4.65726,4.68432,4.6941,4.70104,4.71199,4.7299,4.75578,4.7896,4.8307,4.87805,4.93032,4.98595,5.04325,5.10048,5.15593,5.2081,5.25578,5.29819,5.33498,5.3663,5.39263,5.41457,5.43234,5.44517,5.4505,5.44379,5.41993,5.37603,5.31386,5.23937,5.15971,5.08052,5.00512,4.93494,4.87027,4.81085,4.75619,4.70576,4.65904,4.6156,4.57504,4.53703,4.50131,4.46764,4.43583,4.4057,4.37712,4.34995,4.32408,4.29943,4.27591,4.25343,4.23193,4.21134,4.19162,4.1727,4.15455,4.13711,4.12035,4.10423,4.08872,4.07377,4.05937,4.04549,4.0321,4.01917,4.00668,3.99462,3.98296,3.97168,3.96076,3.9502,3.93996,3.93005,3.92044,3.91112,3.90208,3.89331,3.88479,3.87652,3.86848,3.86067,3.85308,3.84569,3.83851,3.83152,3.82471,3.81809,3.81163,3.80534,3.79921,3.79323,3.78741,3.78172,3.77618,3.77076,3.56948,3.74894,3.94432,4.12935,4.32037,4.53213,4.70008,4.70152,4.49159,4.16464,3.83683,3.56168,3.34552,3.17806,3.04689,2.94156,2.85399,2.77806,2.70909,2.64338,2.57805,2.51082,2.44,2.36439,2.28335,2.19673,2.10485,2.0084,1.9083,1.80553,1.70089,1.5948,1.48698,1.37639,1.26129,1.14,1.01244,0.88187,0.75512,0.64018,0.54252,0.46341,0.40084,0.35152,0.31222,0.28033,0.25391,0.23158,0.21235,0.19555,0.18069,0.16741,0.15545,0.14461,0.13475,0.12573,0.11746,0.10986,0.10285,0.09638,0.0904,0.08486,0.07972,0.07495,0.0705,0.06637,0.06251,0.05891,0.05554,0.05239,0.04944,0.04666,0.04406,0.04161,0.03931,0.03714,0.03509,0.03315,0.03132,0.02958,0.02794,0.02638,0.0249,0.02349,0.02215,0.02087,0.01965,0.01848,0.01737,0.0163,0.01528,0.0143,0.01336,0.01246,0.01159,0.01075,0.00995,0.00917,0.00842,0.0077,0.007,0.00632,0.00567,0.00506,0.0046,0.00416,0.00374
13,1,350,690,125,148.746,140.26,32.223,36.15,3.46E+20,142.6,1.78986,1.80684,1.83671,1.90381,2.0293,2.20206,2.40712,2.68699,3.10274,3.62286,4.10019,4.41921,4.58492,4.65587,4.68133,4.6899,4.69599,4.70639,4.72397,4.7497,4.78349,4.82466,4.87212,4.92453,4.9803,5.03773,5.09505,5.15059,5.20284,5.25062,5.29317,5.3302,5.36189,5.38875,5.4114,5.43012,5.44416,5.45102,5.44619,5.4244,5.38237,5.32147,5.24751,5.16779,5.08821,5.01234,4.94171,4.87668,4.81698,4.7621,4.71148,4.66462,4.62104,4.58036,4.54224,4.50642,4.47265,4.44073,4.41051,4.38184,4.35459,4.32864,4.30392,4.28032,4.25778,4.23622,4.21558,4.1958,4.17684,4.15864,4.14116,4.12436,4.1082,4.09265,4.07768,4.06325,4.04934,4.03593,4.02298,4.01047,3.99839,3.98671,3.97541,3.96448,3.9539,3.94366,3.93373,3.92411,3.91478,3.90573,3.89695,3.88843,3.88015,3.8721,3.86429,3.85669,3.8493,3.84211,3.83511,3.8283,3.82167,3.81521,3.80892,3.80279,3.79681,3.79098,3.78529,3.77974,3.77433,3.5681,3.74788,3.94418,4.12973,4.31915,4.52936,4.69799,4.70037,4.48937,4.16032,3.83107,3.55552,3.3397,3.17298,3.04272,2.93833,2.85168,2.77662,2.70843,2.64343,2.57872,2.51206,2.44173,2.3666,2.28603,2.19991,2.10857,2.01273,1.91332,1.81132,1.70752,1.60231,1.49539,1.38566,1.27135,1.15069,1.02338,0.89243,0.76456,0.64796,0.54852,0.46787,0.40415,0.35404,0.31421,0.28195,0.25526,0.2327,0.21329,0.19631,0.18128,0.16784,0.15574,0.14477,0.13478,0.12566,0.11729,0.10959,0.10251,0.09597,0.08992,0.08432,0.07913,0.07431,0.06982,0.06564,0.06175,0.05812,0.05472,0.05154,0.04856,0.04576,0.04313,0.04066,0.03834,0.03615,0.03408,0.03212,0.03027,0.02852,0.02686,0.02528,0.02378,0.02236,0.021,0.01971,0.01847,0.01729,0.01616,0.01508,0.01405,0.01305,0.0121,0.01118,0.0103,0.00945,0.00864,0.00785,0.00709,0.00635,0.00564,0.00495,0.00428,0.00367,0.00324,0.00282,0.00243
1,2,425,560,125,123.656,122.76,27.126,31.58,7.63E+20,114.676,1.81987,1.82563,1.84921,1.92118,2.06278,2.22894,2.40507,2.6749,3.08552,3.57639,4.02194,4.33877,4.52809,4.63126,4.68705,4.72044,4.74537,4.76911,4.79526,4.82546,4.86028,4.89964,4.94311,4.99003,5.03954,5.09067,5.14238,5.19354,5.24299,5.28958,5.33214,5.36955,5.40067,5.42432,5.43917,5.44364,5.43575,5.41332,5.37476,5.32049,5.25394,5.1805,5.10525,5.03145,4.96073,4.89377,4.83086,4.7721,4.71744,4.66671,4.61963,4.57587,4.53511,4.49703,4.46134,4.42777,4.39609,4.36612,4.33768,4.31064,4.28487,4.26027,4.23675,4.21423,4.19264,4.17192,4.15201,4.13288,4.11446,4.09674,4.07965,4.06319,4.0473,4.03197,4.01717,4.00287,3.98905,3.97568,3.96275,3.95024,3.93813,3.92639,3.91502,3.904,3.89332,3.88295,3.87289,3.86313,3.85365,3.84444,3.83549,3.8268,3.81834,3.81012,3.80212,3.79433,3.78675,3.77937,3.77218,3.76518,3.75835,3.7517,3.74521,3.73889,3.73271,3.72669,3.72081,3.71507,3.70947,3.55323,3.7428,3.93158,4.08925,4.2744,4.49619,4.65933,4.65846,4.47702,4.19417,3.89971,3.64003,3.42548,3.25105,3.10809,2.98849,2.88567,2.79448,2.71095,2.63194,2.55496,2.47805,2.39961,2.31838,2.23341,2.14397,2.04961,1.95006,1.84527,1.73532,1.62041,1.50087,1.37709,1.24974,1.12001,0.99015,0.86407,0.74697,0.64365,0.55632,0.48423,0.42503,0.37625,0.33588,0.30236,0.27441,0.25092,0.23096,0.21377,0.19875,0.18545,0.17351,0.16268,0.15277,0.14364,0.13519,0.12734,0.12002,0.11319,0.10681,0.10083,0.09524,0.09,0.0851,0.0805,0.07618,0.07214,0.06835,0.06479,0.06144,0.05831,0.05536,0.05259,0.04999,0.04754,0.04524,0.04307,0.04103,0.0391,0.03729,0.03558,0.03396,0.03243,0.03099,0.02963,0.02834,0.02711,0.02596,0.02486,0.02382,0.02283,0.02189,0.021,0.02015,0.01934,0.01857,0.01784,0.01714,0.01647,0.01584,0.01523,0.01465,0.01409,0.01359,0.01325,0.01292,0.01261
5,2,425,560,125,123.328,119.44,27.301,31.88,7.38E+20,114.37,1.81999,1.82546,1.84786,1.91873,2.06022,2.22696,2.40338,2.67351,3.08566,3.57911,4.02638,4.34316,4.53144,4.63335,4.68804,4.72054,4.74478,4.768,4.79378,4.82376,4.85846,4.89784,4.94144,4.98858,5.0384,5.08993,5.14209,5.19373,5.24368,5.29075,5.33377,5.37158,5.40304,5.42695,5.442,5.44664,5.43895,5.41682,5.3787,5.32498,5.25889,5.18567,5.11034,5.03626,4.96516,4.8978,4.83453,4.77547,4.72057,4.66964,4.6224,4.57853,4.53767,4.49952,4.46377,4.43015,4.39844,4.36844,4.33999,4.31293,4.28715,4.26254,4.23901,4.21649,4.19489,4.17417,4.15427,4.13514,4.11673,4.09901,4.08193,4.06547,4.0496,4.03427,4.01948,4.00518,3.99137,3.97801,3.96509,3.95259,3.94048,3.92876,3.9174,3.90639,3.89571,3.88535,3.8753,3.86555,3.85608,3.84688,3.83794,3.82925,3.8208,3.81259,3.80459,3.79682,3.78925,3.78187,3.77469,3.7677,3.76088,3.75424,3.74776,3.74144,3.73527,3.72926,3.72338,3.71765,3.71205,3.5535,3.74367,3.93363,4.09197,4.27746,4.50022,4.66453,4.66337,4.47981,4.19458,3.89858,3.63821,3.42351,3.24924,3.10662,2.98747,2.88515,2.79451,2.71154,2.63308,2.55664,2.48022,2.40222,2.32136,2.23667,2.14742,2.05315,1.95361,1.84874,1.73864,1.62355,1.5038,1.37985,1.25238,1.12259,0.99271,0.86654,0.74916,0.64528,0.55722,0.4844,0.42461,0.37542,0.33482,0.30118,0.2732,0.24972,0.22979,0.21265,0.19769,0.18443,0.17254,0.16176,0.15189,0.1428,0.13438,0.12656,0.11927,0.11246,0.1061,0.10014,0.09457,0.08934,0.08445,0.07986,0.07555,0.07152,0.06773,0.06418,0.06084,0.0577,0.05476,0.05199,0.04939,0.04694,0.04464,0.04247,0.04043,0.0385,0.03668,0.03497,0.03335,0.03182,0.03038,0.02901,0.02771,0.02649,0.02533,0.02422,0.02318,0.02219,0.02124,0.02035,0.01949,0.01868,0.0179,0.01717,0.01646,0.01579,0.01515,0.01453,0.01395,0.01338,0.01288,0.01253,0.01219,0.01187
13,2,425,560,125,122.05,118.22,27.77,32.2,7.10E+20,113.138,1.82078,1.82569,1.84605,1.91516,2.05658,2.22457,2.40154,2.67124,3.08438,3.58074,4.03016,4.34676,4.53343,4.63345,4.68643,4.71754,4.74068,4.76308,4.78828,4.81788,4.85241,4.89179,4.93556,4.98302,5.03329,5.08536,5.13814,5.19046,5.24112,5.2889,5.3326,5.37107,5.40314,5.42762,5.44324,5.44849,5.44154,5.42043,5.38369,5.33157,5.26697,5.19472,5.11972,5.04543,4.97383,4.90588,4.84206,4.78253,4.72724,4.67599,4.6285,4.58442,4.5434,4.5051,4.46923,4.4355,4.4037,4.37362,4.34509,4.31796,4.29212,4.26746,4.24388,4.22131,4.19968,4.17892,4.15899,4.13983,4.1214,4.10365,4.08656,4.07008,4.05419,4.03885,4.02404,4.00974,3.99592,3.98256,3.96963,3.95712,3.94501,3.93329,3.92193,3.91091,3.90024,3.88988,3.87983,3.87008,3.86061,3.85142,3.84248,3.8338,3.82536,3.81714,3.80916,3.80138,3.79382,3.78645,3.77928,3.77229,3.76548,3.75884,3.75236,3.74605,3.73989,3.73388,3.72802,3.72229,3.7167,3.55234,3.74336,3.93503,4.09406,4.27905,4.50223,4.66816,4.66709,4.48104,4.19278,3.89482,3.63365,3.41894,3.24511,3.1032,2.98491,2.88355,2.79391,2.71196,2.63451,2.55904,2.48354,2.40636,2.32624,2.24217,2.15344,2.05958,1.96035,1.8557,1.74576,1.63079,1.51117,1.38738,1.26015,1.13068,1.00112,0.87505,0.75727,0.65234,0.56274,0.48829,0.42708,0.37682,0.33549,0.30139,0.27311,0.24944,0.22939,0.21215,0.19711,0.18379,0.17185,0.16101,0.1511,0.14196,0.1335,0.12564,0.11832,0.11148,0.10508,0.0991,0.0935,0.08825,0.08333,0.07872,0.07439,0.07034,0.06653,0.06296,0.05961,0.05646,0.0535,0.05071,0.0481,0.04563,0.04332,0.04113,0.03907,0.03713,0.0353,0.03357,0.03194,0.0304,0.02894,0.02756,0.02625,0.02501,0.02383,0.02271,0.02165,0.02065,0.01969,0.01878,0.01791,0.01709,0.0163,0.01555,0.01483,0.01414,0.01349,0.01286,0.01226,0.01168,0.01116,0.01083,0.0105,0.01019
1,3,500,690,125,216.384,210.84,31.842,35.62,3.55E+20,206.937,1.74564,1.77863,1.83882,1.92466,2.0374,2.19374,2.40934,2.70543,3.11755,3.6207,4.08916,4.41141,4.58364,4.6591,4.68652,4.69542,4.70113,4.711,4.72826,4.75398,4.7881,4.82985,4.87799,4.93091,4.98673,5.04342,5.09887,5.15113,5.19855,5.24004,5.27517,5.30435,5.32875,5.35019,5.37066,5.39155,5.41225,5.42872,5.43334,5.41778,5.37796,5.31684,5.24226,5.16263,5.08396,5.00942,4.94018,4.87631,4.8174,4.76294,4.7124,4.66532,4.62131,4.58006,4.54128,4.50474,4.47025,4.43763,4.40674,4.37743,4.3496,4.32313,4.29793,4.27391,4.251,4.22912,4.2082,4.18819,4.16903,4.15067,4.13306,4.11616,4.09992,4.08432,4.06931,4.05487,4.04096,4.02755,4.01462,4.00215,3.99011,3.97848,3.96724,3.95638,3.94587,3.9357,3.92585,3.91631,3.90706,3.89809,3.8894,3.88096,3.87277,3.86481,3.85709,3.84958,3.84227,3.83517,3.82827,3.82154,3.815,3.80863,3.80242,3.79637,3.79048,3.78473,3.77912,3.77366,3.76832,3.58929,3.74922,3.92643,4.12312,4.32774,4.52965,4.68043,4.67974,4.48019,4.1613,3.83507,3.55826,3.34006,3.17131,3.03973,2.93464,2.84768,2.77242,2.70389,2.63819,2.57224,2.50368,2.43078,2.35247,2.26837,2.17875,2.08449,1.98696,1.88778,1.78853,1.69037,1.5936,1.49719,1.39846,1.29327,1.1774,1.04962,0.91454,0.78203,0.66254,0.56219,0.48167,0.41819,0.36793,0.32744,0.29412,0.26613,0.24219,0.22144,0.20325,0.18718,0.1729,0.16013,0.14868,0.13837,0.12905,0.12061,0.11295,0.10597,0.0996,0.09377,0.08843,0.08353,0.07902,0.07485,0.07101,0.06744,0.06414,0.06107,0.05822,0.05555,0.05306,0.05074,0.04855,0.04651,0.04458,0.04277,0.04106,0.03945,0.03793,0.03648,0.03511,0.03381,0.03258,0.0314,0.03028,0.02921,0.02819,0.02721,0.02627,0.02537,0.02451,0.02368,0.02289,0.02212,0.02138,0.02066,0.01997,0.01931,0.01866,0.01804,0.01743,0.01685,0.01626,0.0156,0.01497,0.01436
5,3,500,690,125,216.78,210.47,32.014,36.01,3.50E+20,207.275,1.7453,1.77818,1.83885,1.92523,2.03782,2.19403,2.41021,2.70687,3.11943,3.62333,4.09246,4.41466,4.58623,4.66087,4.68756,4.69592,4.70125,4.71088,4.728,4.75366,4.78776,4.82952,4.87768,4.93061,4.98643,5.04308,5.09846,5.15061,5.1979,5.23924,5.27424,5.30331,5.32765,5.34911,5.36972,5.39087,5.41197,5.42902,5.43439,5.41966,5.38062,5.32003,5.24568,5.16599,5.08711,5.01231,4.94281,4.87871,4.81962,4.76499,4.71432,4.66714,4.62304,4.58171,4.54286,4.50627,4.47172,4.43906,4.40812,4.37878,4.35091,4.32442,4.29919,4.27515,4.25222,4.23032,4.20939,4.18936,4.17019,4.15181,4.13419,4.11728,4.10104,4.08543,4.07041,4.05596,4.04205,4.02863,4.0157,4.00323,3.99118,3.97955,3.96831,3.95744,3.94693,3.93676,3.9269,3.91736,3.90811,3.89915,3.89045,3.88201,3.87382,3.86586,3.85813,3.85062,3.84332,3.83622,3.82931,3.82258,3.81604,3.80966,3.80346,3.79741,3.79151,3.78576,3.78016,3.77469,3.76935,3.59024,3.75014,3.92718,4.12442,4.3295,4.53135,4.68209,4.68121,4.48079,4.16072,3.83364,3.55649,3.3383,3.16975,3.03846,2.93366,2.84698,2.77197,2.70364,2.6381,2.57228,2.50379,2.43094,2.35268,2.26862,2.17906,2.08491,1.98754,1.88858,1.78963,1.69183,1.59547,1.49951,1.40125,1.2965,1.181,1.05342,0.91825,0.78534,0.66519,0.5641,0.48292,0.41895,0.36836,0.32766,0.29422,0.26616,0.24218,0.2214,0.2032,0.18713,0.17284,0.16008,0.14863,0.13832,0.12901,0.12057,0.11292,0.10595,0.09958,0.09377,0.08844,0.08354,0.07903,0.07488,0.07104,0.06748,0.06419,0.06113,0.05827,0.05562,0.05313,0.05081,0.04863,0.04659,0.04467,0.04286,0.04116,0.03955,0.03802,0.03658,0.03522,0.03392,0.03268,0.03151,0.03039,0.02932,0.0283,0.02732,0.02638,0.02548,0.02462,0.02379,0.023,0.02223,0.02149,0.02078,0.02009,0.01942,0.01878,0.01815,0.01755,0.01696,0.01637,0.0157,0.01505,0.01443
13,3,500,690,125,215.266,210.7,32.294,36.15,3.32E+20,205.355,1.74474,1.77721,1.83961,1.9281,2.0405,2.19612,2.41368,2.71132,3.12364,3.62764,4.09735,4.41929,4.58958,4.66263,4.68792,4.69522,4.69984,4.70904,4.72592,4.75148,4.78555,4.82729,4.8754,4.9282,4.98378,5.04007,5.09497,5.14654,5.19319,5.23387,5.26826,5.29687,5.32098,5.34249,5.36351,5.38546,5.40783,5.42664,5.43431,5.42227,5.38584,5.32726,5.254,5.17456,5.09539,5.02006,4.94998,4.88534,4.82579,4.77078,4.71979,4.67232,4.62798,4.58643,4.54739,4.51062,4.47591,4.44309,4.41202,4.38255,4.35457,4.32796,4.30263,4.2785,4.25548,4.2335,4.2125,4.19241,4.17317,4.15474,4.13707,4.12011,4.10382,4.08816,4.07311,4.05862,4.04467,4.03122,4.01826,4.00575,3.99368,3.98202,3.97076,3.95986,3.94933,3.93913,3.92926,3.9197,3.91043,3.90144,3.89273,3.88427,3.87606,3.86809,3.86034,3.85282,3.8455,3.83838,3.83146,3.82472,3.81817,3.81178,3.80556,3.7995,3.79359,3.78783,3.78221,3.77673,3.77139,3.59165,3.75121,3.92703,4.12514,4.33081,4.53157,4.68144,4.68038,4.47906,4.15738,3.82907,3.5515,3.33355,3.16558,3.03498,2.93088,2.84481,2.7703,2.70236,2.63709,2.57142,2.50302,2.43023,2.35204,2.26813,2.17884,2.08514,1.98844,1.89039,1.79258,1.69614,1.60131,1.50698,1.41036,1.30717,1.19302,1.06635,0.9313,0.7975,0.67559,0.57238,0.4892,0.42363,0.37188,0.3304,0.29641,0.26797,0.24371,0.22272,0.20435,0.18813,0.17372,0.16086,0.14932,0.13894,0.12956,0.12108,0.11338,0.10637,0.09998,0.09414,0.08879,0.08388,0.07936,0.07519,0.07135,0.06779,0.06448,0.06142,0.05856,0.0559,0.05342,0.05109,0.04891,0.04687,0.04495,0.04314,0.04143,0.03982,0.0383,0.03685,0.03549,0.03419,0.03295,0.03178,0.03065,0.02958,0.02856,0.02758,0.02664,0.02574,0.02488,0.02405,0.02325,0.02248,0.02174,0.02103,0.02034,0.01967,0.01902,0.0184,0.01779,0.0172,0.01661,0.01592,0.01525,0.01461
1,4,425,820,125,263.928,256.1,35.444,38.65,2.29E+20,255.014,1.72683,1.74542,1.81485,1.92652,2.04386,2.17487,2.37618,2.68487,3.107,3.59276,4.03503,4.34822,4.52659,4.61155,4.64561,4.65722,4.66254,4.67003,4.6838,4.70552,4.73549,4.77318,4.81745,4.86675,4.91925,4.97291,5.02566,5.07554,5.12093,5.16073,5.19449,5.22255,5.24606,5.26683,5.28713,5.30909,5.33379,5.36009,5.38363,5.39716,5.39288,5.36596,5.31706,5.25193,5.17826,5.10261,5.02915,4.9599,4.8955,4.8359,4.78072,4.72952,4.68186,4.63736,4.59568,4.55654,4.5197,4.48494,4.45209,4.42099,4.3915,4.3635,4.33687,4.31153,4.28737,4.26433,4.24233,4.22129,4.20116,4.18189,4.16342,4.1457,4.12869,4.11235,4.09664,4.08152,4.06697,4.05296,4.03945,4.02642,4.01385,4.00171,3.98998,3.97864,3.96768,3.95707,3.9468,3.93685,3.92722,3.91788,3.90882,3.90003,3.8915,3.88321,3.87517,3.86735,3.85975,3.85237,3.84518,3.83819,3.83138,3.82475,3.8183,3.81201,3.80588,3.79991,3.79408,3.7884,3.78286,3.57352,3.73398,3.88493,4.0715,4.29462,4.50846,4.64434,4.62638,4.4346,4.13781,3.82787,3.55707,3.33851,3.16708,3.03279,2.92593,2.83841,2.76378,2.69691,2.63376,2.57109,2.50642,2.43797,2.36462,2.28595,2.20224,2.11434,2.02364,1.93179,1.84046,1.75102,1.66417,1.57951,1.49519,1.40776,1.31269,1.20589,1.08617,0.95711,0.82684,0.7051,0.59918,0.5118,0.44175,0.38598,0.3412,0.30464,0.27423,0.24847,0.22633,0.20707,0.19014,0.17516,0.16182,0.14987,0.13914,0.12945,0.12068,0.11271,0.10547,0.09885,0.0928,0.08725,0.08215,0.07745,0.07312,0.06911,0.0654,0.06196,0.05875,0.05577,0.05299,0.05039,0.04795,0.04567,0.04353,0.04151,0.03962,0.03783,0.03614,0.03454,0.03303,0.0316,0.03024,0.02894,0.02771,0.02654,0.02542,0.02435,0.02333,0.02236,0.02142,0.02052,0.01966,0.01883,0.01804,0.01727,0.01653,0.01582,0.01513,0.01447,0.01382,0.0132,0.01257,0.01179,0.01104,0.01032
