site,wafer,time_dep,geh4,b2h6,XCoord,YCoord,GAMMA,THICK_SIGE,CONC_BORE,DOSE_BORE,sigeb_th,sigeb_conc,dose,SiGe25p free carriers gamma,SiGe25p free carriers doping,model_quality
1,1,350,690,125,0,-0.001,1160.9441,101.6132,116.0944,11.7967,101.6132,116.0944,11.7967,1160.9441,257.0574,0.0123
2,1,350,690,125,73.999,-14.8,1139.2299,128.2958,113.923,14.6158,128.2958,113.923,14.6158,1139.2299,198.4226,0.0129
3,1,350,690,125,29.6,-74.001,1132.6603,110.6792,113.266,12.5362,110.6792,113.266,12.5362,1132.6603,227.417,0.0124
4,1,350,690,125,-44.401,-59.199,1167.0649,114.8651,116.7065,13.4055,114.8651,116.7065,13.4055,1167.0649,225.321,0.0159
5,1,350,690,125,-74.001,14.801,1154.0609,81.1815,115.4061,9.3688,81.1815,115.4061,9.3688,1154.0609,316.6042,0.012
6,1,350,690,125,-29.599,74,1170.0858,116.0159,117.0086,13.5749,116.0159,117.0086,13.5749,1170.0858,223.2926,0.0151
7,1,350,690,125,44.399,59.2,1195.4558,190.9536,119.5456,22.8277,190.9536,119.5456,22.8277,1195.4558,136.2262,0.0202
8,1,350,690,125,118.4,-0.001,1213.585,132.6457,121.3585,16.0977,132.6457,121.3585,16.0977,1213.585,193.294,0.0186
9,1,350,690,125,103.599,-74.001,1209.037,148.0181,120.9037,17.8959,148.0181,120.9037,17.8959,1209.037,168.344,0.0174
10,1,350,690,125,44.398,-118.4,1203.9659,121.269,120.3966,14.6004,121.269,120.3966,14.6004,1203.9659,205.7172,0.0172
11,1,350,690,125,-44.4,-118.4,1196.0825,148.2113,119.6083,17.7273,148.2113,119.6083,17.7273,1196.0825,166.7153,0.0159
12,1,350,690,125,-103.6,-74,1228.8953,116.6782,122.8895,14.3385,116.6782,122.8895,14.3385,1228.8953,215.4175,0.0179
13,1,350,690,125,-118.4,0,1225.613,132.3679,122.5613,16.2232,132.3679,122.5613,16.2232,1225.613,191.7461,0.0191
14,1,350,690,125,-103.599,74,1191.651,134.1236,119.1651,15.9828,134.1236,119.1651,15.9828,1191.651,188.5197,0.0178
15,1,350,690,125,-44.4,118.4,1182.6534,100.4732,118.2654,11.8825,100.4732,118.2654,11.8825,1182.6534,250.8498,0.0122
16,1,350,690,125,44.399,118.4,1158.233,100.0726,115.8233,11.5907,100.0726,115.8233,11.5907,1158.233,254.0417,0.0136
17,1,350,690,125,103.601,74,1191.0448,108.2786,119.1045,12.8965,108.2786,119.1045,12.8965,1191.0448,235.8914,0.0176
1,2,425,560,125,0,-0.001,1340.9701,110.7836,134.097,14.8558,110.7836,134.097,14.8558,1340.9701,218.9478,0.0103
2,2,425,560,125,74,-14.8,1352.7814,147.5634,135.2781,19.9621,147.5634,135.2781,19.9621,1352.7814,159.3164,0.0146
3,2,425,560,125,29.6,-74.001,1398.4663,142.6645,139.8466,19.9512,142.6645,139.8466,19.9512,1398.4663,166.1914,0.0146
4,2,425,560,125,-44.4,-59.198,1395.6664,129.766,139.5666,18.111,129.766,139.5666,18.111,1395.6664,182.9004,0.0153
5,2,425,560,125,-74.001,14.801,1427.3025,113.0309,142.7303,16.1329,113.0309,142.7303,16.1329,1427.3025,215.4577,0.0135
6,2,425,560,125,-29.599,74,1404.3782,125.8235,140.4378,17.6704,125.8235,140.4378,17.6704,1404.3782,191.9325,0.0128
7,2,425,560,125,44.4,59.2,1320.8767,116.027,132.0877,15.3257,116.027,132.0877,15.3257,1320.8767,203.3011,0.0104
8,2,425,560,125,118.401,-0.001,1442.5963,129.9383,144.2596,18.7449,129.9383,144.2596,18.7449,1442.5963,183.4069,0.0162
9,2,425,560,125,103.601,-74.002,1403.6919,137.4036,140.3692,19.2872,137.4036,140.3692,19.2872,1403.6919,166.8992,0.0159
10,2,425,560,125,44.399,-118.4,1419.2523,131.4971,141.9252,18.6628,131.4971,141.9252,18.6628,1419.2523,174.9044,0.0167
11,2,425,560,125,-44.402,-118.4,1351.7634,126.853,135.1763,17.1475,126.853,135.1763,17.1475,1351.7634,175.2173,0.0131
12,2,425,560,125,-103.6,-74,1420.8838,124.3073,142.0884,17.6626,124.3073,142.0884,17.6626,1420.8838,188.0764,0.0165
13,2,425,560,125,-118.4,0.001,1392.4772,135.8725,139.2477,18.9199,135.8725,139.2477,18.9199,1392.4772,171.6227,0.0169
14,2,425,560,125,-103.6,73.999,1360.2761,124.28,136.0276,16.9055,124.28,136.0276,16.9055,1360.2761,187.439,0.0162
15,2,425,560,125,-44.4,118.4,1401.3322,139.4659,140.1332,19.5438,139.4659,140.1332,19.5438,1401.3322,169.9649,0.0164
16,2,425,560,125,44.4,118.4,1391.1602,126.1553,139.116,17.5502,126.1553,139.116,17.5502,1391.1602,186.5518,0.015
17,2,425,560,125,103.601,74,1410.959,120.8274,141.0959,17.0483,120.8274,141.0959,17.0483,1410.959,193.4996,0.0111
1,3,500,690,125,-0.001,-0.001,1098.6635,148.778,109.8663,16.3457,148.778,109.8663,16.3457,1098.6635,257.4893,0.0095
2,3,500,690,125,73.999,-14.8,1050.8905,134.9192,105.0891,14.1785,134.9192,105.0891,14.1785,1050.8905,273.244,0.007
3,3,500,690,125,29.601,-74.002,1095.5502,139.4366,109.555,15.276,139.4366,109.555,15.276,1095.5502,265.6098,0.0086
4,3,500,690,125,-44.4,-59.198,1078.2655,132.1626,107.8265,14.2506,132.1626,107.8265,14.2506,1078.2655,281.2629,0.0087
5,3,500,690,125,-74.002,14.801,1125.2391,147.1914,112.5239,16.5626,147.1914,112.5239,16.5626,1125.2391,259.057,0.0101
6,3,500,690,125,-29.599,74,1111.0837,158.5089,111.1084,17.6117,158.5089,111.1084,17.6117,1111.0837,239.5477,0.01
7,3,500,690,125,44.401,59.2,1118.9916,151.8772,111.8992,16.9949,151.8772,111.8992,16.9949,1118.9916,250.988,0.0093
8,3,500,690,125,118.401,-0.001,1126.8556,147.3221,112.6856,16.6011,147.3221,112.6856,16.6011,1126.8556,249.9522,0.0113
9,3,500,690,125,103.6,-74.001,1100.6057,131.7269,110.0606,14.4979,131.7269,110.0606,14.4979,1100.6057,270.5363,0.0082
10,3,500,690,125,44.398,-118.401,1138.3494,167.6986,113.8349,19.09,167.6986,113.8349,19.09,1138.3494,215.0619,0.0123
11,3,500,690,125,-44.401,-118.4,1075.0031,144.5505,107.5003,15.5392,144.5505,107.5003,15.5392,1075.0031,248.1641,0.0097
12,3,500,690,125,-103.601,-73.999,1123.7715,137.0708,112.3772,15.4036,137.0708,112.3772,15.4036,1123.7715,266.8614,0.0104
13,3,500,690,125,-118.401,0,1102.6298,133.2532,110.263,14.6929,133.2532,110.263,14.6929,1102.6298,276.3846,0.0094
14,3,500,690,125,-103.601,73.999,1103.1072,195.6354,110.3107,21.5807,195.6354,110.3107,21.5807,1103.1072,189.041,0.0117
15,3,500,690,125,-44.4,118.4,1091.3899,128.5676,109.139,14.0317,128.5676,109.139,14.0317,1091.3899,288.2108,0.0078
16,3,500,690,125,44.4,118.4,1104.0432,154.7197,110.4043,17.0817,154.7197,110.4043,17.0817,1104.0432,238.2348,0.0104
17,3,500,690,125,103.601,74,1133.6483,147.5149,113.3648,16.723,147.5149,113.3648,16.723,1133.6483,248.7319,0.0118
1,4,425,820,125,-0.001,0,959.3732,147.3553,95.9373,14.1369,147.3553,95.9373,14.1369,959.3732,288.3061,0.0076
2,4,425,820,125,74,-14.8,930.3077,151.7954,93.0308,14.1216,151.7954,93.0308,14.1216,930.3077,272.4224,0.0064
3,4,425,820,125,29.599,-74.001,945.3029,140.1995,94.5303,13.2531,140.1995,94.5303,13.2531,945.3029,294.1247,0.0058
4,4,425,820,125,-44.402,-59.199,946.8767,134.2821,94.6877,12.7149,134.2821,94.6877,12.7149,946.8767,307.701,0.0059
5,4,425,820,125,-74.002,14.801,982.3398,153.8791,98.234,15.1162,153.8791,98.234,15.1162,982.3398,274.8448,0.0086
6,4,425,820,125,-29.598,74,954.0851,152.0713,95.4085,14.5089,152.0713,95.4085,14.5089,954.0851,276.77,0.0078
7,4,425,820,125,44.401,59.2,953.4825,146.4125,95.3483,13.9602,146.4125,95.3483,13.9602,953.4825,288.373,0.0074
8,4,425,820,125,118.4,-0.001,957.3687,126.3103,95.7369,12.0925,126.3103,95.7369,12.0925,957.3687,320.8157,0.0074
9,4,425,820,125,103.599,-74.002,974.9827,150.7522,97.4983,14.6981,150.7522,97.4983,14.6981,974.9827,263.0969,0.0081
10,4,425,820,125,44.398,-118.399,945.7808,119.4648,94.5781,11.2988,119.4648,94.5781,11.2988,945.7808,330.1664,0.0059
11,4,425,820,125,-44.401,-118.4,956.6352,160.8106,95.6635,15.3837,160.8106,95.6635,15.3837,956.6352,246.8589,0.0086
12,4,425,820,125,-103.601,-74.001,984.6396,170.9414,98.464,16.8316,170.9414,98.464,16.8316,984.6396,237.2368,0.0095
13,4,425,820,125,-118.401,0,978.1149,166.0597,97.8115,16.2425,166.0597,97.8115,16.2425,978.1149,246.8126,0.009
14,4,425,820,125,-103.601,74,939.1465,131.7551,93.9146,12.3737,131.7551,93.9146,12.3737,939.1465,307.3555,0.0067
15,4,425,820,125,-44.401,118.4,966.8745,159.8504,96.6875,15.4555,159.8504,96.6875,15.4555,966.8745,256.696,0.0087
16,4,425,820,125,44.4,118.4,952.5738,137.4299,95.2574,13.0912,137.4299,95.2574,13.0912,952.5738,295.1786,0.0074
17,4,425,820,125,103.602,73.999,963.6486,131.8012,96.3649,12.701,131.8012,96.3649,12.701,963.6486,306.505,0.008
1,5,350,560,150,0,-0.001,1522.4639,121.9129,152.2464,18.5608,121.9129,152.2464,18.5608,1522.4639,226.2355,0.0094
2,5,350,560,150,74,-14.8,1441.3958,119.4457,144.1396,17.2169,119.4457,144.1396,17.2169,1441.3958,219.6275,0.0098
3,5,350,560,150,29.6,-74.001,1432.8378,97.5556,143.2838,13.9781,97.5556,143.2838,13.9781,1432.8378,265.9988,0.0087
4,5,350,560,150,-44.402,-59.199,1440.3071,95.9859,144.0307,13.8249,95.9859,144.0307,13.8249,1440.3071,269.2918,0.0084
5,5,350,560,150,-74.002,14.801,1533.3241,99.9684,153.3324,15.3284,99.9684,153.3324,15.3284,1533.3241,270.5641,0.0094
6,5,350,560,150,-29.599,74,1489.0645,106.0987,148.9064,15.7988,106.0987,148.9064,15.7988,1489.0645,251.6372,0.0083
7,5,350,560,150,44.4,59.2,1529.0575,117.6483,152.9057,17.9891,117.6483,152.9057,17.9891,1529.0575,233.5129,0.0127
8,5,350,560,150,118.4,-0.001,1546.8643,126.3409,154.6864,19.5432,126.3409,154.6864,19.5432,1546.8643,210.2897,0.0133
9,5,350,560,150,103.599,-74.001,1424.3513,99.3836,142.4351,14.1557,99.3836,142.4351,14.1557,1424.3513,250.6941,0.01
10,5,350,560,150,44.399,-118.4,1508.7517,120.5587,150.8752,18.1893,120.5587,150.8752,18.1893,1508.7517,213.4964,0.0132
11,5,350,560,150,-44.4,-118.4,1420.1658,110.0666,142.0166,15.6313,110.0666,142.0166,15.6313,1420.1658,224.7218,0.0097
12,5,350,560,150,-103.6,-74.001,1469.0427,92.9494,146.9043,13.6547,92.9494,146.9043,13.6547,1469.0427,274.7619,0.0115
13,5,350,560,150,-118.4,0,1537.1573,116.595,153.7157,17.9225,116.595,153.7157,17.9225,1537.1573,224.078,0.0108
14,5,350,560,150,-103.6,74,1425.4626,101.3291,142.5463,14.4441,101.3291,142.5463,14.4441,1425.4626,252.0004,0.0094
15,5,350,560,150,-44.4,118.4,1481.8595,115.075,148.1859,17.0525,115.075,148.1859,17.0525,1481.8595,228.1937,0.0111
16,5,350,560,150,44.4,118.4,1496.2394,127.9479,149.6239,19.1441,127.9479,149.6239,19.1441,1496.2394,203.3417,0.0118
17,5,350,560,150,103.602,73.998,1455.1559,86.3596,145.5156,12.5667,86.3596,145.5156,12.5667,1455.1559,298.9005,0.0096
1,6,350,820,150,0,0,1040.9357,134.3012,104.0936,13.9799,134.3012,104.0936,13.9799,1040.9357,316.8077,0.0084
2,6,350,820,150,74,-14.801,1011.8945,134.42,101.1894,13.6019,134.42,101.1894,13.6019,1011.8945,307.2251,0.0064
3,6,350,820,150,29.601,-74,1037.3596,132.181,103.736,13.7119,132.181,103.736,13.7119,1037.3596,314.3874,0.0072
4,6,350,820,150,-44.401,-59.199,1056.7278,148.2117,105.6728,15.6619,148.2117,105.6728,15.6619,1056.7278,282.0483,0.0087
5,6,350,820,150,-74.002,14.801,1074.7209,163.7163,107.4721,17.5949,163.7163,107.4721,17.5949,1074.7209,259.131,0.0105
6,6,350,820,150,-29.599,74,1027.4191,131.5946,102.7419,13.5203,131.5946,102.7419,13.5203,1027.4191,319.5789,0.0078
7,6,350,820,150,44.401,59.2,1048.8521,141.1099,104.8852,14.8003,141.1099,104.8852,14.8003,1048.8521,299.573,0.0084
8,6,350,820,150,118.4,0,1029.912,117.5913,102.9912,12.1109,117.5913,102.9912,12.1109,1029.912,345.8013,0.0082
9,6,350,820,150,103.599,-74.001,1023.3384,123.7673,102.3338,12.6656,123.7673,102.3338,12.6656,1023.3384,322.0461,0.008
10,6,350,820,150,44.399,-118.401,1036.6729,127.8704,103.6673,13.256,127.8704,103.6673,13.256,1036.6729,311.967,0.0089
