wafer,site,time_dep,geh4,b2h6,th_sigeb,oxide,     GOF
1,1,350,690,125,145.514,10.0168,0.91157
1,2,350,690,125,145.055,10.1523,0.91233
1,3,350,690,125,144.982,10.2892,0.91194
1,4,350,690,125,144.464,10.0638,0.91097
1,5,350,690,125,145.525,10.0484,0.91154
1,6,350,690,125,146.326,10.1825,0.91064
1,7,350,690,125,145.991,10.0093,0.91145
1,8,350,690,125,144.453,10.2859,0.9111
1,9,350,690,125,144.038,10.4623,0.91101
1,10,350,690,125,143.361,10.5098,0.91163
1,11,350,690,125,143.028,10.4588,0.91136
1,12,350,690,125,142.481,10.4081,0.91182
1,13,350,690,125,143.147,10.3145,0.91243
1,14,350,690,125,144.31,10.3705,0.91096
1,15,350,690,125,145.766,10.4885,0.91092
1,16,350,690,125,145.902,10.3611,0.90982
1,17,350,690,125,144.253,10.1681,0.91174
1,18,350,690,125,145.505,10.0081,0.91165
1,19,350,690,125,145.566,10.1,0.911
1,20,350,690,125,145.572,10.0218,0.91202
1,21,350,690,125,145.687,10.0665,0.91044
1,22,350,690,125,145.68,10.0761,0.91055
1,23,350,690,125,145.361,10.0334,0.91162
1,24,350,690,125,143.082,10.3668,0.91189
1,25,350,690,125,143.199,10.3587,0.91228
1,26,350,690,125,143.347,10.3197,0.91262
2,1,425,560,125,116.785,8.6946,0.89922
2,2,425,560,125,115.419,8.7367,0.90145
2,3,425,560,125,115.032,8.9338,0.90063
2,4,425,560,125,115.188,8.8582,0.90065
2,5,425,560,125,116.295,8.8693,0.90087
2,6,425,560,125,117.133,8.9213,0.90176
2,7,425,560,125,116.604,8.6695,0.90046
2,8,425,560,125,114.236,8.9176,0.90152
2,9,425,560,125,113.302,9.1138,0.90279
2,10,425,560,125,112.919,9.2271,0.90462
2,11,425,560,125,113.507,9.2392,0.90302
2,12,425,560,125,114.24,9.2459,0.90451
2,13,425,560,125,114.676,9.2358,0.90337
2,14,425,560,125,116.384,9.2687,0.90447
2,15,425,560,125,117.148,9.2305,0.90459
2,16,425,560,125,116.449,9.1342,0.90446
2,17,425,560,125,114.922,8.8886,0.90343
2,18,425,560,125,116.741,8.6945,0.90052
2,19,425,560,125,116.764,8.7589,0.89989
2,20,425,560,125,116.799,8.715,0.90048
2,21,425,560,125,116.312,8.9032,0.90211
2,22,425,560,125,116.362,8.9025,0.90126
2,23,425,560,125,116.203,8.864,0.90065
2,24,425,560,125,114.656,9.2897,0.9046
2,25,425,560,125,114.751,9.252,0.90342
2,26,425,560,125,114.783,9.2136,0.90333
3,1,500,690,125,207.834,9.2361,0.88955
3,2,500,690,125,207.203,9.333,0.88948
3,3,500,690,125,207.132,9.4713,0.88968
3,4,500,690,125,206.786,9.3504,0.88861
3,5,500,690,125,208.169,9.4038,0.88855
3,6,500,690,125,209.411,9.409,0.88771
3,7,500,690,125,208.479,9.2213,0.88892
3,8,500,690,125,203.66,9.4801,0.88863
3,9,500,690,125,202.748,9.6177,0.88806
3,10,500,690,125,202.804,9.6772,0.88777
3,11,500,690,125,204.744,9.5466,0.88807
3,12,500,690,125,205.242,9.5361,0.88791
3,13,500,690,125,206.366,9.6722,0.88801
3,14,500,690,125,207.426,9.5462,0.88706
3,15,500,690,125,208.343,9.5627,0.88631
3,16,500,690,125,206.172,9.5173,0.88745
3,17,500,690,125,203.489,9.349,0.88846
3,18,500,690,125,207.751,9.2326,0.88838
3,19,500,690,125,207.755,9.3003,0.88952
3,20,500,690,125,207.684,9.2133,0.88822
3,21,500,690,125,208.455,9.3974,0.88861
3,22,500,690,125,208.321,9.398,0.88907
3,23,500,690,125,207.863,9.3973,0.88882
3,24,500,690,125,206.001,9.6793,0.88688
3,25,500,690,125,206.426,9.6652,0.88752
3,26,500,690,125,206.664,9.5924,0.88802
4,1,425,820,125,254.491,9.044,0.88419
4,2,425,820,125,254.842,9.1095,0.88408
4,3,425,820,125,254.954,9.2301,0.88504
4,4,425,820,125,253.842,9.112,0.8843
4,5,425,820,125,255.473,9.2031,0.88458
4,6,425,820,125,257.257,9.2664,0.88306
4,7,425,820,125,256.196,9.0418,0.88476
4,8,425,820,125,249.808,9.1655,0.88366
4,9,425,820,125,247.836,9.2871,0.88226
4,10,425,820,125,248.207,9.3255,0.88193
4,11,425,820,125,249.76,9.2167,0.88276
4,12,425,820,125,251.016,9.2033,0.88206
4,13,425,820,125,252.896,9.3954,0.88333
4,14,425,820,125,252.717,9.341,0.88157
4,15,425,820,125,254.407,9.3804,0.8817
4,16,425,820,125,252.007,9.2789,0.88194
4,17,425,820,125,248.825,9.0224,0.88281
4,18,425,820,125,254.399,9.0179,0.88321
4,19,425,820,125,254.418,9.1339,0.88475
4,20,425,820,125,254.372,9.0182,0.88326
4,21,425,820,125,255.933,9.2065,0.88511
4,22,425,820,125,255.701,9.2107,0.88465
4,23,425,820,125,254.971,9.1803,0.88508
4,24,425,820,125,252.279,9.4159,0.88319
4,25,425,820,125,252.935,9.3853,0.88298
4,26,425,820,125,253.494,9.3655,0.88401
5,1,350,560,150,113.375,9.1907,0.87433
5,2,350,560,150,112.017,9.1516,0.87784
5,3,350,560,150,111.629,9.2904,0.88099
5,4,350,560,150,111.626,9.25,0.87976
5,5,350,560,150,112.632,9.2946,0.8796
5,6,350,560,150,113.51,9.3519,0.87999
5,7,350,560,150,113.139,9.1506,0.87649
5,8,350,560,150,110.971,9.2219,0.88351
5,9,350,560,150,110.434,9.3196,0.88919
5,10,350,560,150,110.561,9.3276,0.89137
5,11,350,560,150,110.531,9.2665,0.89273
5,12,350,560,150,110.446,9.2775,0.89143
5,13,350,560,150,111.274,9.4339,0.88699
5,14,350,560,150,112.944,9.4018,0.89135
5,15,350,560,150,113.335,9.3575,0.8881
5,16,350,560,150,112.582,9.2881,0.88735
5,17,350,560,150,111.458,9.0891,0.8854
5,18,350,560,150,113.333,9.1931,0.87364
5,19,350,560,150,113.429,9.2488,0.87435
5,20,350,560,150,113.391,9.1973,0.87337
5,21,350,560,150,112.698,9.3398,0.88015
5,22,350,560,150,112.809,9.321,0.88021
5,23,350,560,150,112.669,9.3225,0.87959
5,24,350,560,150,111.273,9.4797,0.88861
5,25,350,560,150,111.29,9.4566,0.88787
5,26,350,560,150,111.289,9.422,0.8875
6,1,350,820,150,223.754,9.1031,0.88108
6,2,350,820,150,223.832,9.1178,0.88268
6,3,350,820,150,223.807,9.2311,0.88197
6,4,350,820,150,223.385,9.1473,0.88135
6,5,350,820,150,225.163,9.2337,0.88146
6,6,350,820,150,226.335,9.2297,0.88146
6,7,350,820,150,225.131,9.0664,0.88166
6,8,350,820,150,221.776,9.2743,0.88145
6,9,350,820,150,220.265,9.4186,0.88189
6,10,350,820,150,219.815,9.4368,0.88182
6,11,350,820,150,221.186,9.3154,0.88088
6,12,350,820,150,222.457,9.3061,0.8804
6,13,350,820,150,223.131,9.422,0.88128
6,14,350,820,150,223.808,9.3943,0.87952
6,15,350,820,150,224.756,9.3546,0.88001
6,16,350,820,150,223.123,9.3159,0.88008
6,17,350,820,150,220.961,9.1681,0.88052
6,18,350,820,150,223.741,9.0918,0.88249
6,19,350,820,150,223.587,9.1561,0.88265
6,20,350,820,150,223.677,9.0742,0.88096
6,21,350,820,150,225.554,9.2554,0.88148
6,22,350,820,150,225.356,9.2422,0.88079
6,23,350,820,150,224.815,9.2516,0.88188
6,24,350,820,150,222.884,9.4817,0.88046
6,25,350,820,150,223.201,9.4438,0.88075
6,26,350,820,150,223.543,9.4049,0.88136
7,1,425,690,150,197.907,9.511,0.89173
7,2,425,690,150,197.101,9.5863,0.89099
7,3,425,690,150,196.633,9.6784,0.89146
7,4,425,690,150,196.486,9.6373,0.89126
7,5,425,690,150,198.183,9.6796,0.89097
7,6,425,690,150,199.421,9.6729,0.89093
7,7,425,690,150,198.539,9.5264,0.89151
7,8,425,690,150,194.219,9.7533,0.89195
7,9,425,690,150,192.92,9.8558,0.89242
7,10,425,690,150,192.86,9.8802,0.89216
7,11,425,690,150,193.839,9.7845,0.89108
7,12,425,690,150,195.018,9.8333,0.89182
7,13,425,690,150,196.848,9.8554,0.89053
7,14,425,690,150,197.903,9.7841,0.88875
7,15,425,690,150,198.965,9.7663,0.88786
7,16,425,690,150,197.443,9.7202,0.88975
7,17,425,690,150,194.822,9.6183,0.89235
7,18,425,690,150,197.898,9.5314,0.89193
7,19,425,690,150,197.869,9.5898,0.89211
7,20,425,690,150,197.885,9.5324,0.89198
7,21,425,690,150,198.337,9.6761,0.8916
7,22,425,690,150,198.303,9.6993,0.89077
