recette,EPI_TH,RTO_TEMP,SUBDOE,PO2,TPS,wafer,site,meas_box,box,si,sige,xge,oxide,gof
bilayer si/sige,30,1100,CINETIQUE,740,10,1,1,SIMS,252.919,94.488,13.111,21.4051,84.657,0.75321
bilayer si/sige,30,1100,CINETIQUE,740,10,1,1,TBOX7,250.812,77.888,21.317,17.5741,71.545,0.75392
bilayer si/sige,30,1100,CINETIQUE,740,10,1,2,SIMS,252.611,91.607,15.847,18.6135,84.867,0.75151
bilayer si/sige,30,1100,CINETIQUE,740,10,1,2,TBOX7,251.089,78.089,21.849,17.6446,72.048,0.75062
bilayer si/sige,30,1100,CINETIQUE,740,10,1,3,SIMS,252.569,93.075,12.811,21.5314,84.015,0.75273
bilayer si/sige,30,1100,CINETIQUE,740,10,1,3,TBOX7,250.867,75.607,21.719,17.6768,72.146,0.74098
bilayer si/sige,30,1100,CINETIQUE,740,10,1,4,SIMS,252.871,92.019,15.573,18.5819,84.016,0.75233
bilayer si/sige,30,1100,CINETIQUE,740,10,1,4,TBOX7,251.067,77.831,21.414,17.635,71.837,0.74921
bilayer si/sige,30,1100,CINETIQUE,740,10,1,5,SIMS,253.192,94.963,13.208,21.3924,84.631,0.75137
bilayer si/sige,30,1100,CINETIQUE,740,10,1,5,TBOX7,251.335,77.918,21.459,17.6202,72.444,0.74727
bilayer si/sige,30,1100,CINETIQUE,740,10,1,6,SIMS,252.596,93.155,13.889,18.4606,84.225,0.75881
bilayer si/sige,30,1100,CINETIQUE,740,10,1,6,TBOX7,250.995,77.425,21.566,17.5909,72.388,0.7474
bilayer si/sige,30,1100,CINETIQUE,740,10,1,7,TBOX7,251.201,76.582,18.722,17.4588,72.302,0.75338
bilayer si/sige,30,1100,CINETIQUE,740,10,1,8,SIMS,252.765,92.384,13.549,18.3528,83.671,0.76566
bilayer si/sige,30,1100,CINETIQUE,740,10,1,8,TBOX7,251.8,78.833,17.472,17.5499,71.853,0.75861
bilayer si/sige,30,1100,CINETIQUE,740,10,1,9,SIMS,252.42,94.102,13.453,21.3732,84.799,0.74862
bilayer si/sige,30,1100,CINETIQUE,740,10,1,9,TBOX7,250.506,77.827,19.738,17.5648,72.477,0.75112
bilayer si/sige,30,1100,CINETIQUE,740,60,2,1,SIMS,251.224,68.895,23.966,18.072,112.988,0.54373
bilayer si/sige,30,1100,CINETIQUE,740,60,2,1,TBOX7,251.474,33.274,36.823,12.1346,131.011,0.65231
bilayer si/sige,30,1100,CINETIQUE,740,60,2,2,SIMS,251.503,67.645,24.656,18.0359,113.968,0.53956
bilayer si/sige,30,1100,CINETIQUE,740,60,2,2,TBOX7,251.401,32.779,37.865,12.1406,132.942,0.64837
bilayer si/sige,30,1100,CINETIQUE,740,60,2,3,SIMS,251.877,66.502,24.025,18.1324,112.941,0.53268
bilayer si/sige,30,1100,CINETIQUE,740,60,2,3,TBOX7,251.846,30.942,36.797,12.3404,133.647,0.64269
bilayer si/sige,30,1100,CINETIQUE,740,60,2,4,SIMS,251.199,68.967,23.837,18.0445,112.383,0.54448
bilayer si/sige,30,1100,CINETIQUE,740,60,2,4,TBOX7,251.535,33.312,36.858,12.1468,131.695,0.64801
bilayer si/sige,30,1100,CINETIQUE,740,60,2,5,SIMS,252.037,66.703,24.578,18.0975,114.083,0.53279
bilayer si/sige,30,1100,CINETIQUE,740,60,2,5,TBOX7,252.307,31.805,36.83,12.2752,134.024,0.64238
bilayer si/sige,30,1100,CINETIQUE,740,60,2,6,SIMS,250.752,69.622,22.474,18.2492,113.119,0.53075
bilayer si/sige,30,1100,CINETIQUE,740,60,2,6,TBOX7,251.593,32.205,37.264,12.2298,134.256,0.64346
bilayer si/sige,30,1100,CINETIQUE,740,60,2,7,SIMS,,,,,,0.18811
bilayer si/sige,30,1100,CINETIQUE,740,60,2,7,TBOX7,252.494,32.576,32.732,12.3591,133.43,0.64989
bilayer si/sige,30,1100,CINETIQUE,740,60,2,8,SIMS,250.856,68.77,21.912,18.459,113.249,0.51998
bilayer si/sige,30,1100,CINETIQUE,740,60,2,8,TBOX7,253.179,34.028,31.123,12.3321,133.361,0.65126
bilayer si/sige,30,1100,CINETIQUE,740,60,2,9,SIMS,250.843,67.154,24.803,18.0516,113.875,0.53831
bilayer si/sige,30,1100,CINETIQUE,740,60,2,9,TBOX7,251.294,33.023,34.184,12.2638,133.608,0.64944
bilayer si/sige,60,1100,CINETIQUE,740,40,3,1,SIMS,251.333,70.397,42.809,18.4172,105.587,0.6677
bilayer si/sige,60,1100,CINETIQUE,740,40,3,1,TBOX7,248.984,25.297,82.612,14.1041,118.442,0.70212
bilayer si/sige,60,1100,CINETIQUE,740,40,3,2,SIMS,251.018,68.558,42.842,18.5085,106.513,0.65694
bilayer si/sige,60,1100,CINETIQUE,740,40,3,2,TBOX7,249.299,23.915,83.47,14.2571,119.28,0.68996
bilayer si/sige,60,1100,CINETIQUE,740,40,3,3,SIMS,251.54,67.793,41.557,18.5669,105.709,0.65214
bilayer si/sige,60,1100,CINETIQUE,740,40,3,3,TBOX7,249.503,22.372,81.917,14.382,120.046,0.68155
bilayer si/sige,60,1100,CINETIQUE,740,40,3,4,SIMS,251.084,71.257,43.131,18.3255,104.769,0.67317
bilayer si/sige,60,1100,CINETIQUE,740,40,3,4,TBOX7,249.117,25.046,82.767,14.1396,118.852,0.6931
bilayer si/sige,60,1100,CINETIQUE,740,40,3,5,SIMS,251.728,68.533,42.615,18.5303,106.786,0.65227
bilayer si/sige,60,1100,CINETIQUE,740,40,3,5,TBOX7,250.05,23.03,82.25,14.2419,120.333,0.68611
bilayer si/sige,60,1100,CINETIQUE,740,40,3,6,SIMS,251.274,69.394,39.749,18.1432,105.674,0.67126
bilayer si/sige,60,1100,CINETIQUE,740,40,3,6,TBOX7,248.955,23.024,82.295,14.2623,120.26,0.68258
bilayer si/sige,60,1100,CINETIQUE,740,40,3,7,TBOX7,249.536,23.402,74.65,14.1306,119.947,0.6714
bilayer si/sige,60,1100,CINETIQUE,740,40,3,8,SIMS,252.188,67.942,38.546,18.1035,105.575,0.67099
bilayer si/sige,60,1100,CINETIQUE,740,40,3,8,TBOX7,250.092,24.541,73.16,13.8275,119.953,0.66581
bilayer si/sige,60,1100,CINETIQUE,740,40,3,9,SIMS,250.581,68.406,42.753,18.6268,106.422,0.65411
bilayer si/sige,60,1100,CINETIQUE,740,40,3,9,TBOX7,248.709,23.269,76.929,14.2652,119.938,0.67434
bilayer si/sige,90,1100,CINETIQUE,740,10,4,1,SIMS,242.581,104.965,27.269,33.9912,87.161,0.47519
bilayer si/sige,90,1100,CINETIQUE,740,10,4,1,TBOX7,251.052,65.181,85.726,21.7737,75.769,0.81565
bilayer si/sige,90,1100,CINETIQUE,740,10,4,2,SIMS,241.944,104.428,27.797,34.0091,87.28,0.46376
bilayer si/sige,90,1100,CINETIQUE,740,10,4,2,TBOX7,251.536,65.623,87.279,21.7545,76.304,0.81839
bilayer si/sige,90,1100,CINETIQUE,740,10,4,3,SIMS,242.872,102.759,26.89,34.0984,86.641,0.46868
bilayer si/sige,90,1100,CINETIQUE,740,10,4,3,TBOX7,251.78,62.674,86.493,21.7554,76.435,0.81032
bilayer si/sige,90,1100,CINETIQUE,740,10,4,4,SIMS,242.747,105.933,27.147,33.9583,86.467,0.48148
bilayer si/sige,90,1100,CINETIQUE,740,10,4,4,TBOX7,251.433,66.276,85.961,21.7441,76.201,0.81619
bilayer si/sige,90,1100,CINETIQUE,740,10,4,5,SIMS,241.859,89.365,45.054,24.6222,88.09,0.44877
bilayer si/sige,90,1100,CINETIQUE,740,10,4,5,TBOX7,252.598,66.986,86.345,21.5935,76.806,0.82029
bilayer si/sige,90,1100,CINETIQUE,740,10,4,6,SIMS,244.215,104.479,24.949,33.6526,86.869,0.5014
bilayer si/sige,90,1100,CINETIQUE,740,10,4,6,TBOX7,251.438,64.883,86.838,21.6352,76.735,0.81633
bilayer si/sige,90,1100,CINETIQUE,740,10,4,7,TBOX7,251.488,61.439,80.186,21.4027,76.873,0.79438
bilayer si/sige,90,1100,CINETIQUE,740,10,4,8,SIMS,245.458,102.204,24.147,33.5199,86.227,0.50836
bilayer si/sige,90,1100,CINETIQUE,740,10,4,8,TBOX7,251.779,63.004,76.483,21.3736,76.551,0.78752
bilayer si/sige,90,1100,CINETIQUE,740,10,4,9,SIMS,241.787,104.826,27.818,34.083,87.299,0.46489
bilayer si/sige,90,1100,CINETIQUE,740,10,4,9,TBOX7,250.898,62.792,82.142,21.5461,76.796,0.80027
bilayer si/sige,90,1100,CINETIQUE,740,60,5,1,SIMS,247.086,67.255,52.6,22.6515,119.635,0.5367
bilayer si/sige,90,1100,CINETIQUE,740,60,5,1,TBOX7,249.349,12.656,110.042,17.4757,142.387,0.75814
bilayer si/sige,90,1100,CINETIQUE,740,60,5,2,SIMS,246.62,67.391,53.785,22.5605,120.593,0.53253
bilayer si/sige,90,1100,CINETIQUE,740,60,5,2,TBOX7,249.661,12.609,111.963,17.422,143.825,0.75813
bilayer si/sige,90,1100,CINETIQUE,740,60,5,3,SIMS,247.664,66.928,51.393,22.6245,119.567,0.5361
bilayer si/sige,90,1100,CINETIQUE,740,60,5,3,TBOX7,250.126,11.917,109.311,17.562,144.519,0.75086
bilayer si/sige,90,1100,CINETIQUE,740,60,5,4,SIMS,247.262,66.875,52.502,22.6579,118.931,0.53759
bilayer si/sige,90,1100,CINETIQUE,740,60,5,4,TBOX7,249.681,11.608,109.83,17.6344,142.771,0.74949
bilayer si/sige,90,1100,CINETIQUE,740,60,5,5,SIMS,247.525,66.118,52.317,22.7778,120.165,0.52546
bilayer si/sige,90,1100,CINETIQUE,740,60,5,5,TBOX7,250.438,12.27,109.531,17.5017,144.981,0.75103
bilayer si/sige,90,1100,CINETIQUE,740,60,5,6,SIMS,248.612,67.013,50.26,21.9905,119.18,0.57075
bilayer si/sige,90,1100,CINETIQUE,740,60,5,6,TBOX7,249.682,12.739,110.038,17.4095,145.061,0.75228
bilayer si/sige,90,1100,CINETIQUE,740,60,5,7,SIMS,,,,,,0.25807
bilayer si/sige,90,1100,CINETIQUE,740,60,5,7,TBOX7,249.98,14.572,98.528,17.4577,144.509,0.7219
bilayer si/sige,90,1100,CINETIQUE,740,60,5,8,SIMS,249.835,65.638,47.638,22.0423,118.862,0.57751
bilayer si/sige,90,1100,CINETIQUE,740,60,5,8,TBOX7,250.469,15.29,95.173,17.3836,144.319,0.71394
bilayer si/sige,90,1100,CINETIQUE,740,60,5,9,SIMS,246.153,65.941,51.992,22.9784,119.791,0.52
bilayer si/sige,90,1100,CINETIQUE,740,60,5,9,TBOX7,249.296,12.565,102.12,17.7071,144.196,0.73001
bilayer si/sige,60,1050,RTO,375,45.5,6,1,SIMS,249.08,90.729,28.194,24.0277,85.379,0.64899
bilayer si/sige,60,1050,RTO,375,45.5,6,1,TBOX7,249.664,66.87,55.92,20.7748,75.593,0.76977
bilayer si/sige,60,1050,RTO,375,45.5,6,2,SIMS,248.558,92.293,28.884,23.9257,85.74,0.64978
bilayer si/sige,60,1050,RTO,375,45.5,6,2,TBOX7,250.085,67.932,57.321,20.7554,76.193,0.77273
bilayer si/sige,60,1050,RTO,375,45.5,6,3,SIMS,249.573,91.836,27.649,24.0035,85.607,0.65132
bilayer si/sige,60,1050,RTO,375,45.5,6,3,TBOX7,250.999,66.154,56.645,20.6576,76.415,0.76749
bilayer si/sige,60,1050,RTO,375,45.5,6,4,SIMS,248.906,90.539,28.219,24.0036,84.905,0.65022
